RegionType,RegionName,City,State,Metro,CBSATitle,SizeRank,MarketHealthIndex,SellForGain,PrevForeclosed,ForeclosureRatio,ZHVI,MoM,YoY,ForecastYoYPctChange,StockOfREOs,NegativeEquity,Delinquency,DaysOnMarket
City,Tyler,Tyler,TX,"Tyler, TX","Tyler, TX",199,6.803521779,70,,,123900,0.080775444,8.398950131,0.05968523,25.3,0.083807762,0.016828753,83
City,Mesquite,Mesquite,TX,"Dallas-Fort Worth, TX","Dallas-Fort Worth-Arlington, TX",200,6.731232623,88.37,10.3617,6.2475,125500,0.319744205,13.57466063,0.059442231,70.7,0.062959458,0.035767393,64
City,Fullerton,Fullerton,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",201,9.139017609,85.45,4.9906,0.5411,574600,0.630472855,8.41509434,0.017307692,37.8,0.06321361,0.025791404,77
City,Warren,Warren,MI,"Detroit, MI","Detroit-Warren-Dearborn, MI",202,6.186283596,,,,99500,0.505050505,5.291005291,0.039125628,63.6,0.250750147,0.028979534,106
City,McKinney,McKinney,TX,"Dallas-Fort Worth, TX","Dallas-Fort Worth-Arlington, TX",203,9.794253939,91.51,1.502,0.9226,258800,0.58297707,14.76718404,0.06427357,46.6,0.047252466,0.013066539,61
City,West Valley City,West Valley City,UT,"Salt Lake City, UT","Salt Lake City, UT",204,4.379981464,76.79,,,173800,0.462427746,6.888068881,0.052226697,52,0.20814109,0.024831474,69
City,Renton,Renton,WA,"Seattle, WA","Seattle-Tacoma-Bellevue, WA",205,6.240963855,85.22,7.712,5.5622,359200,0.616246499,10.31941032,0.05873608,50.3,0.101537793,0.030838655,61
City,Canton,Canton,OH,"Canton, OH","Canton-Massillon, OH",206,0.78313253,79.63,15.4136,4.3296,85100,0,0.23557126,0.022855464,64.4,0.192441217,0.037354085,91.5
City,Metairie,Metairie,LA,"New Orleans, LA","New Orleans-Metairie, LA",207,8.920296571,,,,216700,0.417052827,10.11178862,0.036520535,2.8,0.074680787,0.021960912,78.5
City,Santa Maria,Santa Maria,CA,"Santa Maria-Santa Barbara, CA","Santa Maria-Santa Barbara, CA",208,7.647822057,90,7.3903,1.1532,328200,0.58228624,7.360157017,0.043601463,36.8,0.143008492,0.029351172,93
City,Inglewood,Inglewood,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",209,0.938832252,95,14.4327,3.5503,388500,-0.025733402,3.655282818,0.009930502,96.2,0.119537219,0.051221007,73
City,Orange,Orange,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",210,9.329008341,92,3.6249,1.4023,605500,0.765518389,7.548845471,0.014284063,34.1,0.056041607,0.028455845,79
City,New Haven,New Haven,CT,"New Haven, CT","New Haven-Milford, CT",211,0.832252085,81.82,8.9602,1.234,151100,0.066225166,-4.063492063,0.001568498,68.3,0.284330736,0.078263215,140
City,Cumming,Cumming,GA,"Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA",212,8.457831325,84.52,,,261000,0.19193858,4.735152488,0.040471264,48.5,0.071700977,0.013464442,107
City,Abilene,Abilene,TX,"Abilene, TX","Abilene, TX",213,7.696014829,95.96,,,106600,0,9.896907216,0.040159475,33.4,0.111178083,0.009337503,75
City,Compton,Compton,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",214,3.836886006,72.22,17.878,4.7955,307500,0.852738603,11.94029851,0.030230894,122.6,0.132751517,0.075252546,96
City,McAllen,McAllen,TX,"McAllen, TX","McAllen-Edinburg-Mission, TX",215,3.700648749,80.95,,,115100,0,4.068716094,,52.9,0.099493278,0.021790097,140.5
City,Bellevue,Bellevue,WA,"Seattle, WA","Seattle-Tacoma-Bellevue, WA",216,9.784059314,91.96,2.0716,1.392,659600,0.426309379,10.0617387,0.060918739,25.2,0.055961008,0.007597218,56
City,Saginaw,Saginaw,MI,"Saginaw, MI","Saginaw, MI",217,3.264133457,73.77,,,50000,0,5.263157895,0.04666,130.5,0.269644092,0.03430935,117.5
City,Bloomington,Bloomington,IN,"Bloomington, IN","Bloomington, IN",218,9.337349398,,,,152800,0.858085809,4.229195089,0.032441099,4.8,0.119878543,0.016778926,
City,Olathe,Olathe,KS,"Kansas City, MO","Kansas City, MO-KS",219,8.430027804,,,,203100,0.246791708,7.346723044,0.037331364,6.8,0.105489223,0.017723961,92
City,Miramar,Miramar,FL,"Miami-Fort Lauderdale, FL","Miami-Fort Lauderdale-West Palm Beach, FL",220,1.910101946,89.19,,,230900,0.69777584,9.900047596,-0.00625812,129.1,0.179420258,0.109470478,99
City,Queen Creek,Queen Creek,AZ,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",221,6.105653383,84.76,8.899,3.0366,212400,0.568181818,11.02979613,0.034077213,40.1,0.185372245,0.025127129,79
City,Coral Springs,Coral Springs,FL,"Miami-Fort Lauderdale, FL","Miami-Fort Lauderdale-West Palm Beach, FL",222,2.919369787,81.08,,,302300,0.498670213,6.144662921,-0.020836917,128.6,0.12030571,0.073998371,103
City,East Los Angeles,East Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",223,2.656163114,92.31,11.0741,,353400,0.454803866,7.776761208,0.022614601,80.6,0.093254409,0.054347934,64
City,Hamilton,Hamilton,OH,"Cincinnati, OH","Cincinnati, OH-KY-IN",224,3.62557924,,,,133700,0.074850299,3.965785381,0.031660434,56.1,0.175425223,0.046062851,102.5
City,Hartford,Hartford,CT,"Hartford, CT","Hartford-West Hartford-East Hartford, CT",225,0.729379055,66.67,13.4877,1.1738,89900,0.22296544,4.292343387,0.004204672,135.8,0.548345819,0.067755318,111
City,Stamford,Stamford,CT,"Stamford, CT","Bridgeport-Stamford-Norwalk, CT",226,4.232622799,71.88,0.8545,0.8966,457400,-0.218150087,0.131348511,0.006020988,26.9,0.125115272,0.0646741,119.5
City,Savannah,Savannah,GA,"Savannah, GA","Savannah, GA",227,2.390176089,73.33,,,110000,0,4.265402844,0.027763636,24.5,0.190524193,0.029096264,114
